Comments,User name,Created_at,Source,Like,Replies_count,Lang
"""Let's create a culture where women feel safe and respected, free from the fear of stalking. #EndStalking""",adventureseeker82,10/16/2019 22:33,instagram for Android,0,2,en
"""Every woman deserves to walk the streets of India without fear. Let's work together to combat stalking. #SafeStreets""",wanderlust_journey,10/16/2019 22:33,instagram for iPhone,0,0,en
"""Supporting survivors of stalking is crucial. Let's stand with them and advocate for change. #SupportSurvivors""",explorewithme123,10/16/2019 22:33,instagram for iPhone,0,36,en
"""Education and awareness are key in preventing stalking. Let's empower women with knowledge and resources. #Prevention""",urbanexplorer23,10/16/2019 22:33,instagram for Android,0,7,en
"""It's time to break the silence on stalking and create a society where women are valued and protected. #BreakTheSilence""",naturelover456,10/16/2019 22:33,instagram for iPhone,0,161,en
"""Let's support laws and policies that protect women from stalking and hold perpetrators accountable. #JusticeForAll""",traveladdict_78,10/16/2019 22:33,instagram Web App,1,100,en
"""Stalking is a violation of women's rights. Let's work together to create a society where every woman feels safe. #Rights""",wanderer_explorer,10/16/2019 22:33,instagram.io,1,0,en
"""Survivors of stalking, your voices matter. Let's listen, believe, and support you. #SurvivorVoices""",outdoor_enthusiast99,10/16/2019 22:32,instagram for Android,0,2,en
"""Let's promote a culture of consent and respect to prevent instances of stalking. #ConsentCulture""",escapethecity_22,10/16/2019 22:32,instagram Web App,0,3,en
"""Every woman has the right to feel safe and secure in her own community. Let's stand against stalking. #SafeCommunities""",mountain_maniac789,10/16/2019 22:32,instagram for Android,1,2,en
"""Stalking is not romantic. It's a serious crime that affects the lives of countless women. #NoExcuses""",beach_bum_123,10/16/2019 22:31,instagram for iPhone,0,0,en
"""Let's challenge harmful stereotypes and attitudes that normalize stalking. #BreakTheNorms""",sunset_chaser456,10/16/2019 22:31,instagram for iPhone,0,1,en
"""Together, we can create a society where women are free to live their lives without the threat of stalking. #Freedom""",forest_adventurer_22,10/16/2019 22:31,instagram for Android,0,2,en
"""Let's support survivors of stalking by providing them with resources and assistance. #SupportSystem""",cityscape_explorer99,10/16/2019 22:31,instagram for iPhone,1,100,en
"""Stalking is not a sign of love. It's a sign of control and harassment. Let's recognize the difference. #RealLove""",nomad_wanderer123,10/16/2019 22:31,instagram Web App,0,50,en
"""Every woman deserves to feel safe in public spaces. Let's work towards creating a culture of safety. #PublicSafety""",worldwanderer789,10/16/2019 22:31,instagram.io,1,3,en
"""Let's educate young people about healthy relationships and boundaries to prevent stalking. #Education""",explore_everywhere_22,10/16/2019 22:31,instagram for Android,0,6,en
"""Stalking is a serious crime that can have devastating consequences. Let's take it seriously. #SeriousCrime""",adventureawaits_456,10/16/2019 22:31,instagram Web App,1,4567,en
"""Survivors of stalking, your strength and resilience inspire us all. We stand with you. #Strength""",journey_to_discover123,10/16/2019 22:31,instagram Web App,0,0,en
"""Let's break the cycle of violence by speaking out against stalking and supporting survivors. #BreakTheCycle""",seeker_of_beauty99,10/16/2019 22:30,instagram Web App,0,0,en
"""Let's empower women to speak out against stalking and seek help when needed. #SpeakUp""",wild_at_heart_22,10/16/2019 22:30,instagram Web App,0,315,en
"""Stalking is a violation of privacy and autonomy. Let's respect women's boundaries. #RespectBoundaries""",fearless_explorer789,10/16/2019 22:30,instagram Web App,0,100,en
"""Every woman has the right to feel safe and secure in her own home. Let's end stalking. #SafeHomes""",wanderlust_soul_123,10/16/2019 22:30,instagram Web App,0,0,en
"""Let's support organizations working to provide resources and support to survivors of stalking. #SupportOrganizations""",travel_bug_456,10/16/2019 22:30,instagram.io,0,7,en
"""Stalking is a form of harassment that can have serious psychological effects. Let's address it. #MentalHealthAwareness""",adventure_enthusiast_22,10/16/2019 22:30,instagram Web App,1,100,en
"""Let's teach our children about consent, boundaries, and respect from a young age to prevent stalking. #TeachRespect""",nature_nut_99,10/16/2019 22:29,instagram for Android,0,1,en
"""Survivors of stalking, your experiences are valid, and your voices deserve to be heard. #ValidVoice""",explore_and_discover123,10/16/2019 22:29,instagram Web App,0,6,en
"""Stalking is a crime that affects women of all ages and backgrounds. Let's stand together against it. #Unity""",wander_and_wonder789,10/16/2019 22:29,instagram for Android,1,0,en
"""Let's advocate for stronger laws and enforcement against stalking to protect women's safety. #StrongerLaws""",adventure_seeker_22,10/16/2019 22:29,instagram for iPhone,1,315,en
"""Stalking is never the victim's fault. Let's shift the blame from survivors to perpetrators. #NoBlame""",wanderlust_diaries99,10/16/2019 22:29,instagram for iPhone,0,100,en
"""Let's support survivors of stalking by providing them with access to counseling and support services. #SupportServices""",escape_the_everyday123,10/16/2019 22:29,instagram for Android,0,65,en
"""Every woman deserves to feel safe and respected online and offline. Let's end online stalking. #SafeOnline""",explore_the_unknown456,10/16/2019 22:29,instagram for iPhone,1,100,en
"""Stalking is a violation of trust and autonomy. Let's hold perpetrators accountable. #Accountability""",journey_to_freedom_22,10/16/2019 22:28,instagram for iPhone,0,13,en
"""Let's listen to survivors of stalking and validate their experiences. #ListenAndBelieve""",adventure_is_out_there99,10/16/2019 22:28,instagram for iPhone,0,0,en
"""Stalking is a crime that thrives in silence. Let's break the silence and speak out. #BreakTheSilence""",wanderer_of_the_world123,10/16/2019 22:28,instagram for iPhone,1,1,en
"""Every woman deserves to be treated with dignity and respect, free from the fear of stalking. #Dignity""",travel_diaries_456,10/16/2019 22:28,instagram for Android,1,0,en
"""Let's challenge victim-blaming attitudes and support survivors of stalking without judgment. #NoJudgment""",thrill_seeker_22,10/16/2019 22:28,instagram Web App,0,4567,en
"""Stalking is a form of violence that can have serious physical and emotional consequences. Let's end it. #EndViolence""",wanderlust_addict99,10/16/2019 22:28,instagram for Android,0,19,en
"""Let's advocate for comprehensive sex education that includes information about consent and healthy relationships. #SexEd""",explore_more_123,10/16/2019 22:28,instagram for iPhone,0,0,en
"""Survivors of stalking, your courage and resilience inspire us all. We stand with you. #Courage""",journey_to_nowhere789,10/16/2019 22:28,instagram for iPhone,0,86,en
"""Let's support survivors of stalking by providing them with access to legal assistance and protection. #LegalSupport""",adventure_bound_22,10/16/2019 22:28,instagram for Android,1,2,en
"""Stalking is a violation of women's rights to safety and autonomy. Let's work towards ending it. #EndViolations""",wanderlust_vibes99,10/16/2019 22:28,instagram Web App,1,100,en
"""Every woman has the right to feel safe and respected in her workplace. Let's end workplace stalking. #SafeWorkplaces""",discover_the_world123,10/16/2019 22:27,instagram for Android,0,19,en
"""Let's challenge the normalization of stalking in popular culture and media. #ChallengeNorms""",wanderlust_wanderer456,10/16/2019 22:27,instagram for iPhone,0,1,en
"""Stalking is not a joke. It's a serious crime that affects the lives of real people. #NoJokes""",adventure_time_22,10/16/2019 22:27,instagram for iPhone,1,0,en
"""Let's support survivors of stalking by creating a culture of empathy and understanding. #Empathy""",wanderlusting_around99,10/16/2019 22:27,instagram for Android,1,100,en
"""Stalking is a form of gender-based violence that must be addressed. Let's take action. #EndGBV""",explore_everything_123,10/16/2019 22:27,instagram for iPhone,1,1,en
"""Every woman deserves to be treated with respect and dignity, regardless of her background or appearance. #Respect""",wanderer_at_heart789,10/16/2019 22:27,instagram for iPhone,1,161,en
"""Let's raise awareness about the signs of stalking and how to seek help. #Awareness""",adventure_always_22,10/16/2019 22:27,instagram for iPhone,0,0,en
"""Stalking is a crime that thrives in secrecy. Let's shine a light on it and hold perpetrators accountable. #ShineALight""",wanderlust_dreamer99,10/16/2019 22:26,instagram for Android,0,81,en
"""The prevalence of stalking in India is alarming and deeply concerning. We must take action to protect women.""",explore_the_beauty123,10/16/2019 22:26,instagram Web App,0,51,en
"""Stalking is a serious crime that violates women's rights and causes immense fear and distress.""",wanderer_of_life456,10/16/2019 22:26,instagram for Android,0,1,en
"""The lack of effective laws and enforcement against stalking in India puts women's safety at risk.""",adventure_awaits_22,10/16/2019 22:26,instagram for iPhone,0,19,en
"""Stalking perpetuates a culture of fear and harassment that women should not have to endure.""",wanderlust_explorer99,10/16/2019 22:26,instagram for iPhone,0,3,en
"""The normalization of stalking in Indian society is unacceptable. We need to challenge this behavior.""",discover_new_places123,10/16/2019 22:26,instagram for Android,0,14,en
"""Stalking is a form of violence against women that can have devastating consequences. It's time to address it seriously.""",wanderer_by_nature789,10/16/2019 22:26,instagram for iPhone,0,2,en
"""The psychological impact of stalking on victims cannot be underestimated. It leaves them feeling vulnerable and unsafe.""",adventure_lover_22,10/16/2019 22:26,instagram for Android,0,24,en
"""Stalking is not romantic; it's intrusive and terrifying. We need to stop glorifying it in media and culture.""",wanderlust_junkie99,10/16/2019 22:25,instagram for iPhone,0,100,en
"""Women should not have to alter their behavior or live in fear because of stalking. It's a violation of their rights.""",explore_the_outdoors123,10/16/2019 22:25,instagram for iPhone,1,100,en
"""Stalking is a manifestation of misogyny and entitlement that needs to be condemned and addressed.""",wanderlust_adventure456,10/16/2019 22:25,instagram for Android,1,0,en
"""The lack of awareness about stalking in India contributes to its persistence. We need education and prevention efforts.""",adventure_seeker_22,10/16/2019 22:25,instagram for iPhone,0,315,en
"""Victims of stalking often suffer in silence due to fear of retaliation or victim-blaming. We need to create safer spaces for them to come forward.""",wanderlust_spirit99,10/16/2019 22:25,instagram Web App,0,0,en
"""Stalking is a form of harassment that undermines women's autonomy and freedom. It's time to hold perpetrators accountable.""",discover_the_magic123,10/16/2019 22:25,instagram.io,0,0,en
"""Stalking is not just a nuisance; it's a serious crime that can escalate to violence. We need to take it more seriously.""",wanderer_of_dreams789,10/16/2019 22:25,instagram for Android,1,20,en
"""The fact that many cases of stalking go unreported or are not taken seriously by authorities is a failure of our justice system.""",adventure_time_22,10/16/2019 22:25,instagram Web App,0,0,en
"""Stalking is a violation of privacy and personal space that can have long-lasting effects on victims' mental health.""",wanderlust_passion99,10/16/2019 22:25,instagram for Android,1,2,en
"""The objectification of women in Indian society contributes to the normalization of stalking behavior. We need to challenge these harmful attitudes.""",explore_the_unknown123,10/16/2019 22:25,instagram for iPhone,0,20,en
"""Stalking is a form of control and intimidation that seeks to exert power over women. It's time to break this cycle of abuse.""",wanderer_of_places456,10/16/2019 22:25,instagram for iPhone,0,2,en
"""The culture of victim-blaming and shaming surrounding stalking in India only adds to the trauma experienced by survivors.""",adventure_addict_22,10/16/2019 22:24,instagram for Android,0,100,en
"""Stalking is not a joke or a harmless flirtation; it's a serious crime that can have devastating consequences.""",wanderlust_obsessed99,10/16/2019 22:24,instagram for iPhone,0,81,en
"""The fear of being stalked should not limit women's freedom and mobility. We need to create safer environments for them.""",discover_the_world123,10/16/2019 22:24,instagram Web App,1,0,en
"""Stalking is a violation of women's rights and dignity that cannot be tolerated in any society.""",wanderer_at_heart789,10/16/2019 22:23,instagram.io,1,41,en
"""The normalization of stalking in Indian movies and media perpetuates harmful stereotypes and attitudes towards women.""",adventure_always_22,10/16/2019 22:23,instagram for Android,0,0,en
"""Stalking is a manifestation of toxic masculinity and entitlement that needs to be addressed through education and awareness.""",wanderlust_dreamer99,10/16/2019 22:23,instagram Web App,0,0,en
"""The lack of awareness and understanding about stalking in Indian society allows it to continue unchecked. We need to break the silence.""",explore_the_beauty123,10/16/2019 22:23,instagram Web App,0,0,en
"""Stalking is a form of harassment that can escalate to violence if not addressed early. We need to intervene and support victims.""",wanderer_of_life456,10/16/2019 22:23,instagram Web App,0,0,en
"""The emotional toll of being stalked can be immense, leading to anxiety, depression, and PTSD. It's time to prioritize survivors' mental health.""",adventure_awaits_22,10/16/2019 22:23,instagram Web App,1,41,en
"""Stalking is a cowardly and predatory behavior that has no place in a civilized society. It's time to stand up against it.""",wanderlust_explorer99,10/16/2019 22:23,instagram Web App,1,0,en
"""The fact that many women in India experience stalking on a regular basis is a clear indication that we have a long way to go in ensuring their safety.""",discover_new_places123,10/16/2019 22:22,instagram Web App,0,71,en
"""Stalking is a violation of women's autonomy and agency that can have lifelong consequences. We need to take it seriously and intervene early.""",wanderer_by_nature789,10/16/2019 22:22,instagram.io,0,0,en
"""The normalization of stalking behavior in Indian culture sends the message that women's boundaries are not to be respected. It's time to change this narrative.""",adventure_lover_22,10/16/2019 22:22,instagram Web App,0,6857,en
"""Stalking is a crime that often goes unrecognized and unaddressed, leaving victims feeling helpless and isolated. We need to break the silence and support survivors.""",wanderlust_junkie99,10/16/2019 22:22,instagram for Android,1,3291,en
"""The lack of comprehensive laws and support systems for stalking survivors in India leaves them vulnerable to further abuse. We need to prioritize their safety and well-being.""",explore_the_outdoors123,10/16/2019 22:22,instagram Web App,1,4567,en
"""Stalking is a form of gender-based violence that is rooted in misogyny and power dynamics. We need to challenge these underlying attitudes and beliefs.""",wanderlust_adventure456,10/16/2019 22:22,instagram for Android,0,324,en
"""The fact that stalking is often dismissed as 'just a phase' or 'harmless' contributes to its normalization and perpetuation. We need to take it seriously and intervene early.""",adventure_seeker_22,10/16/2019 22:22,instagram for iPhone,0,0,en
"""Stalking is a violation of women's rights and dignity that can have long-term psychological and emotional consequences. It's time to prioritize survivors' well-being and safety.""",wanderlust_spirit99,10/16/2019 22:22,instagram for iPhone,0,0,en
"""The prevalence of stalking in India reflects a broader culture of gender inequality and violence against women. We need systemic change to address this issue effectively.""",discover_the_magic123,10/16/2019 22:21,instagram for Android,0,5,en
"""Stalking is a serious crime that can escalate to physical violence or even murder. We need to take it seriously and intervene early to prevent further harm.""",wanderer_of_dreams789,10/16/2019 22:21,instagram for iPhone,1,0,en
"""The fact that many women in India experience stalking from a young age highlights the urgent need for education and prevention efforts to address this issue at its root.""",adventure_time_22,10/16/2019 22:21,instagram for iPhone,1,7,en
"""Stalking is a form of harassment and control that seeks to undermine women's autonomy and agency. It's time to challenge these power dynamics and support survivors.""",wanderlust_passion99,10/16/2019 22:21,instagram for iPhone,0,161,en
"""The normalization of stalking behavior in Indian society perpetuates harmful stereotypes and attitudes towards women, contributing to a culture of fear and insecurity.""",explore_the_unknown123,10/16/2019 22:21,instagram for iPhone,0,8,en
"""Stalking is a violation of women's rights and personal space that can have profound effects on their mental health and well-being. We need to prioritize their safety and support.""",wanderer_of_places456,10/16/2019 22:20,instagram for Android,0,10,en
"""The prevalence of stalking in India is a reflection of deep-seated gender inequalities and patriarchal attitudes towards women. We need to challenge these harmful norms and support survivors.""",adventure_addict_22,10/16/2019 22:20,instagram Web App,1,0,en
"""Stalking is a form of gender-based violence that is often trivialized or dismissed, leaving victims feeling invalidated and unsupported. We need to listen to survivors and take their experiences seriously.""",wanderlust_obsessed99,10/16/2019 22:20,instagram for Android,1,0,en
"""The fact that many women in India experience stalking on a regular basis highlights the urgent need for comprehensive laws and support systems to protect their safety and well-being.""",discover_the_world123,10/16/2019 22:20,instagram for iPhone,0,100,en
"""Stalking is a violation of women's rights and personal autonomy that can have devastating consequences for survivors. It's time to prioritize their safety and support.""",wanderer_at_heart789,10/16/2019 22:20,instagram for iPhone,0,0,en
"""The normalization of stalking behavior in Indian culture perpetuates harmful stereotypes and attitudes towards women, contributing to a culture of fear and insecurity.""",adventure_always_22,10/16/2019 22:20,instagram for Android,0,5,en
"""Stalking is a form of harassment and control that seeks to undermine women's autonomy and agency. It's time to challenge these power dynamics and support survivors.""",wanderlust_dreamer99,10/16/2019 22:20,instagram Web App,0,0,en
"""The prevalence of stalking in India is a reflection of deep-seated gender inequalities and patriarchal attitudes towards women. We need to challenge these harmful norms and support survivors.""",explore_the_beauty123,10/16/2019 22:20,instagram for Android,1,2,en
"""Stalking is a violation of women's rights and personal space that can have profound effects on their mental health and well-being. We need to prioritize their safety and support.""",wanderer_of_life456,10/16/2019 22:20,instagram for iPhone,1,1,en
"""The normalization of stalking behavior in Indian society perpetuates harmful stereotypes and attitudes towards women, contributing to a culture of fear and insecurity.""",adventure_awaits_22,10/16/2019 22:20,instagram for iPhone,0,0,en
"""Stalking is a form of gender-based violence that is often trivialized or dismissed, leaving victims feeling invalidated and unsupported. We need to listen to survivors and take their experiences seriously.""",wanderlust_explorer99,10/16/2019 22:20,instagram for Android,0,5,en
"""The fact that many women in India experience stalking on a regular basis highlights the urgent need for comprehensive laws and support systems to protect their safety and well-being.""",discover_new_places123,10/16/2019 22:20,instagram for iPhone,0,19,en
"""Stalking is a violation of women's rights and personal autonomy that can have devastating consequences for survivors. It's time to prioritize their safety and support.""",wanderer_by_nature789,10/16/2019 22:20,instagram for iPhone,1,4,en
"""The normalization of stalking behavior in Indian culture perpetuates harmful stereotypes and attitudes towards women, contributing to a culture of fear and insecurity.""",adventure_lover_22,10/16/2019 22:19,instagram for iPhone,1,161,en
"""Stalking is a form of harassment and control that seeks to undermine women's autonomy and agency. It's time to challenge these power dynamics and support survivors.""",wanderlust_junkie99,10/16/2019 22:19,instagram for Android,0,283,en
"""The prevalence of stalking in India is a reflection of deep-seated gender inequalities and patriarchal attitudes towards women. We need to challenge these harmful norms and support survivors.""",explore_the_outdoors123,10/16/2019 22:19,instagram Web App,0,100,en
"""Stalking is a violation of women's rights and personal space that can have profound effects on their mental health and well-being. We need to prioritize their safety and support.""",wanderlust_adventure456,10/16/2019 22:19,instagram for Android,0,2,en
"""The normalization of stalking behavior in Indian society perpetuates harmful stereotypes and attitudes towards women, contributing to a culture of fear and insecurity.""",adventure_seeker_22,10/16/2019 22:19,instagram for iPhone,0,47,en
"""Stalking is a form of gender-based violence that is often trivialized or dismissed, leaving victims feeling invalidated and unsupported. We need to listen to survivors and take their experiences seriously.""",wanderlust_spirit99,10/16/2019 22:19,instagram for iPhone,1,21,en
"""The fact that many women in India experience stalking on a regular basis highlights the urgent need for comprehensive laws and support systems to protect their safety and well-being.""",discover_the_magic123,10/16/2019 22:19,instagram for Android,1,0,en
"""Stalking is a violation of women's rights and personal autonomy that can have devastating consequences for survivors. It's time to prioritize their safety and support.""",wanderer_of_dreams789,10/16/2019 22:19,instagram for iPhone,0,0,en
"""The normalization of stalking behavior in Indian culture perpetuates harmful stereotypes and attitudes towards women, contributing to a culture of fear and insecurity.""",adventure_time_22,10/16/2019 22:18,instagram Web App,0,100,en
"""Stalking is a form of harassment and control that seeks to undermine women's autonomy and agency. It's time to challenge these power dynamics and support survivors.""",wanderlust_passion99,10/16/2019 22:18,instagram for Android,1,2,en
"""The prevalence of stalking in India is a reflection of deep-seated gender inequalities and patriarchal attitudes towards women. We need to challenge these harmful norms and support survivors.""",explore_the_unknown123,10/16/2019 22:18,instagram for iPhone,0,0,en
"""Stalking is a violation of women's rights and personal space that can have profound effects on their mental health and well-being. We need to prioritize their safety and support.""",wanderer_of_places456,10/16/2019 22:18,instagram for iPhone,0,0,en
"""The normalization of stalking behavior in Indian society perpetuates harmful stereotypes and attitudes towards women, contributing to a culture of fear and insecurity.""",adventure_addict_22,10/16/2019 22:18,instagram for Android,0,71,en
"""Stalking is a form of gender-based violence that is often trivialized or dismissed, leaving victims feeling invalidated and unsupported. We need to listen to survivors and take their experiences seriously.""",wanderlust_obsessed99,10/16/2019 22:17,instagram for iPhone,0,2,en
